,desc,hed
13,The participant presses a button to indicate ready.,"(Appropriate-action, Label/Indicate-ready)"
14,The probe letter was not shown in the trial.,"(Cue, Non-target)"
15,The probe letter was a target to be remembered.,"(Cue, Target)"
16,Participant correctly indicated that the probe was a target.,"((Recall, Target), Correct-action)"
17,Participant indicated that the probe was a target but the probe was not a target.,"((Recall, Target), Incorrect-action)"
18,This probe letter is not a target.,Non-target
19,This probe letter is a target.,Target
20,Cue to indicate that a probe letter is coming.,"(Cue, Recall)"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
5,End driving car forward.,"(Def/Drive-vehicle, Offset)"
6,Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)"
7,End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)"
8,Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)"
9,End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)"
10,Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)"
11,End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)"
12,Start pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Left-side-of, Road))), Onset)"
13,End  pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, Offset)"
14,Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Right-side-of, Road))), Onset)"
15,Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, Offset)"
16,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
17,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
18,Start  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, ((Navigational-object, Label/Lane-Blocking-object, Item-count/24)), Onset)"
19,End  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, Offset)"
20,Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)"
21,End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)"
22,Start of a trial,"(Def/Trial-marker, Onset)"
23,End of a trial,"(Def/Trial-marker, Offset)"
24,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
25,Tile complexity 1 high perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile1), Onset)"
26,Tile complexity 2 high perturbation rate and low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile2), Onset)"
27,Tile complexity 3 low perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile3), Onset)"
28,Tile complexity 4 low perturbation rate and high low complexity.,"(Def/Tile-change,  (Condition-Variable/Low-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile4), Onset)"
29,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
30,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
31,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
32,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
33,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
34,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
35,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
36,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
37,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
38,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
39,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
40,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
41,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
42,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
43,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
44,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
45,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
46,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
47,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
48,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
49,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
0,Display a face to mark end of pre-stimulus and start of blink-inhibition.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset),(Def/Cross-only, Offset)"
1,Display a face at the beginning of the recording.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset), (Def/Fixation-task, Onset)"
2,Display a white circle to mark end of the stimulus and blink inhibition.,"Sensory-event, (Intended-effect, Cue), (Def/Circle-only, Onset), (Def/Face-image, Offset), (Def/Blink-inhibition-task, Offset), (Def/Fixation-task, Offset)"
3,Display only a white cross to mark start of trial and fixation.,"Sensory-event, (Intended-effect, Cue), (Def/Cross-only, Onset), (Def/Fixation-task, Onset),  (Def/Circle-only, Offset)"
4,Experiment participant presses a key with left index finger.,"Agent-action, Participant-response, Def/Press-left-finger"
5,Experiment participant presses a key with right index finger.,"Agent-action, Participant-response, Def/Press-right-finger"
6,Setup for experiment with pressing key with left index finger means a face with above average symmetry.,"Experiment-structure, (Def/Left-sym-cond, Onset), (Def/Initialize-recording, Onset)"
7,Setup for experiment with pressing key with right index finger means a face with above average symmetry.,"Experiment-structure, (Def/Right-sym-cond, Onset), (Def/Initialize-recording, Onset)"
8,Experiment participant presses both keys .,"Agent-action, Indeterminate-action, (Press, Keyboard-key)"
9,A face that should be recognized by the participants.,Def/Famous-face-cond
10,A face that should not be recognized by the participants.,Def/Unfamiliar-face-cond
11,A scrambled face image generated by taking face 2D FFT.,Def/Scrambled-face-cond
12,Factor level indicating the first display of this face.,Def/First-show-cond
13,Factor level indicating this face was the same as previous one.,Def/Immediate-repeat-cond
14,Factor level indicating face was seen 5 to 15 trials ago.,Def/Delayed-repeat-cond
0,Response of the subject,"Participant-response, (Keyboard-key, Press), Agent-action"
1,Standard at 500 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/500Hz, Correct, Non-target, (Not-equal-to, Go-signal), Expected"
2,Ignore - not a real event,Description/Event Irrelevant for Experiment
3,Oddball at 1000 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/1000Hz, Wrong, Target, Oddball, Expected, Go-signal"
4,White noise for 60 ms,"Auditory-presentation, Sensory-event, Correct, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor"
5,"White noise for 60 ms, followed by response (incorrect distractor)","Auditory-presentation, Sensory-event, Wrong, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor, Participant-response"
6,"Oddball at 1000 hz for 60 ms, followed by response (correct target)","Auditory-presentation, Sensory-event, Pitch/1000Hz, Correct, Target, Oddball, Expected, Go-signal, Participant-response"
7,"Standard at 500 hz for 60 ms, followed by response (incorrect)","Auditory-presentation, Sensory-event, Pitch/500Hz, Wrong, Non-target, (Not-equal-to, Go-signal), Participant-response, Expected"
0,Start advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Onset)"
1,End advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Offset)"
2,Start block of images from Area A.,"(Def/Environmental-area/Area-A, Onset)"
3,Stop block of images from Area A.,"(Def/Environmental-area/Area-A, Offset)"
4,Start block of images from Area B.,"(Def/Environmental-area/Area-B, Onset)"
5,Stop block of images from Area B.,"(Def/Environmental-area/Area-B, Offset)"
6,Start block of images from Area C.,(Def/Environmental-area/Area-C Onset)
7,Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)"
8,Start block of images from Area D.,"(Def/Environmental-area/Area-D, Onset)"
9,Stop block of images from Area D.,"(Def/Environmental-area/Area-D, Offset)"
10,Start block of images from Area E.,"(Def/Environmental-area/Area-E, Onset)"
11,Stop block of images from Area E.,"(Def/Environmental-area/Area-E, Offset)"
12,Start showing of a valid image,"(Def/Show-image, (Valid), Onset)"
13,End showing of a valid image,"(Def/Show-image, Offset)"
14,Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)"
15,End showing image incorrect access level.,"(Def/Show-image, Offset)"
16,Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)"
17,End showing image of expired ID.,"(Def/Show-image, Offset)"
18,Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)"
19,End showing image with photo ID mismatch.,"(Def/Show-image, Offset)"
20,Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)"
21,End showing image with suspicious DOB.,"(Def/Show-image, Offset)"
22,Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)"
23,End showing image with no watermark.,"(Def/Show-image, Offset)"
24,Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
25,Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
26,Start taking survey,"(Def/Take-survey, Onset)"
27,End taking survey.,"(Def/Take-survey, Offset)"
28,Start of EEG system failure.,"(Def/System-failure/EEG, Onset)"
29,End of EEG system failure.,"(Def/System-failure/EEG, Offset)"
30,Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)"
31,End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)"
32,Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))"
33,Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))"
34,Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))"
35,Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))"
36,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
